"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_rank","country_rank","channel_type_rank","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude"
"1",1,"T-Series",19.316768768509,26.1526114659009,"Music","T-Series",20082,"India","IN","Music",1,1,1,21.5377453026739,13.2438727948015,16.0127351353005,15.7324331701463,18.5013386469698,2e+06,2006,"Mar",13,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"3",3,"MrBeast",18.9274983463208,24.0685572625864,"Entertainment","MrBeast",741,"USA","US","Entertainment",48,1,1,21.0218878494365,12.7278382093345,15.5019095115345,15.2018049190842,17.9852717594711,8e+06,2012,"Feb",20,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"4",4,"Cocomelon - Nursery Rhymes",18.9031068931967,25.8231322647706,"Education","Cocomelon - Nursery Rhymes",966,"USA","US","Education",2,2,1,21.4038342352995,13.1098858558932,15.8823733174372,15.5904629088759,18.3672799672253,1e+06,2006,"Sep",1,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"5",5,"SET India",18.8844147601845,25.7204781107105,"Shows","SET India",116536,"India","IN","Entertainment",3,2,2,21.3242977285986,13.0300287662015,15.8033849061186,15.5202586502027,18.2871493513278,1e+06,2006,"Sep",20,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"7",7,"ýýý Kids Diana Show",18.5340094292594,25.2585181581195,"People & Blogs","ýýý Kids Diana Show",1111,"USA","US","Entertainment",5,3,3,20.4108456175343,12.116694834379,14.8802212949567,14.6039679183285,17.3737116884361,349153.834094369,2015,"May",12,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"8",8,"PewDiePie",18.5250407592766,24.0925611991904,"Gaming","PewDiePie",4716,"Japan","JP","Entertainment",44,1,4,17.4837790581741,9.19013766465866,11.9620884283441,11.6750443144467,14.4573644441367,349153.834094369,2010,"Apr",29,63.2,18.6535890088939,2.29,2.92139783610444,36.204824,138.252924
"9",9,"Like Nastya",18.4789496520763,25.2283842799625,"People & Blogs","Like Nastya Vlog",493,"Russia","RU","People",630,5,25,17.7062486380351,9.40919123072135,12.1848490090785,11.8968263951626,14.6484196808994,1e+05,2016,"Jan",14,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"10",10,"Vlad and Niki",18.4096197965929,25.0694083943232,"Entertainment","Vlad and Niki",574,"USA","US","Entertainment",8,5,6,20.1795278272913,11.8851784388723,14.6484196808994,14.3461388090264,17.1441372467916,6e+05,2018,"Apr",23,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"11",11,"Zee Music Company",18.3871239604235,24.7812280034493,"Music","Zee Music Company",8548,"India","IN","Music",12,3,2,20.5046283679768,12.210562550803,14.97866136777,14.6909792953182,17.4687628344351,1100000,2014,"Mar",12,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"12",12,"WWE",18.3798587494321,25.072620426662,"Sports","WWE",70127,"USA","US","Sports",7,6,1,20.3872530947415,12.0934637011475,14.8802212949567,14.5574479026937,17.3506559121362,6e+05,2007,"May",11,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
